iter	Passed	Remaining
156	579	3112
157	580	3096
158	583	3086
159	586	3080
160	589	3070
161	591	3061
162	593	3050
163	596	3038
164	598	3030
165	601	3021
166	604	3013
167	606	3005
168	609	2995
169	611	2984
170	614	2977
171	616	2969
172	620	2965
173	622	2955
174	624	2944
175	627	2935
176	629	2926
177	631	2918
178	636	2918
179	638	2908
180	641	2900
181	643	2893
182	645	2884
183	648	2876
184	651	2871
185	654	2863
186	656	2855
187	658	2846
188	661	2837
189	663	2830
190	667	2825
191	669	2816
192	671	2809
193	673	2797
194	675	2788
195	678	2781
196	681	2776
197	683	2769
198	686	2763
199	688	2755
200	691	2747
201	694	2742
202	697	2737
203	700	2732
204	702	2724
205	704	2717
206	706	2706
207	709	2700
208	711	2693
209	714	2689
210	717	2681
211	718	2670
212	720	2663
213	723	2656
214	725	2649
215	728	2645
216	731	2639
217	733	2632
218	736	2626
219	738	2619
220	741	2612
221	743	2607
222	746	2600
223	748	2594
224	751	2588
225	753	2582
226	756	2575
227	758	2569
228	761	2564
229	763	2557
230	766	2550
231	768	2544
232	771	2538
233	773	2533
234	777	2532
235	781	2528
236	783	2522
237	785	2515
238	788	2510
239	791	2506
240	794	2501
241	795	2492
242	798	2486
243	800	2480
244	803	2474
245	806	2472
246	810	2470
247	812	2463
248	814	2457
249	816	2448
250	818	2442
251	820	2436
252	824	2434
253	827	2429
254	829	2422
255	830	2414
256	833	2408
257	835	2402
258	838	2397
259	841	2394
260	843	2388
261	846	2383
262	848	2377
263	850	2371
264	853	2366
265	856	2363
266	859	2358
267	861	2352
268	863	2347
269	866	2341
270	868	2336
271	871	2332
272	885	2359
273	888	2353
274	890	2348
275	892	2342
276	895	2336
277	897	2330
278	898	2322
279	900	2316
280	903	2312
281	906	2307
282	908	2301
283	911	2297
284	913	2290
285	915	2285
286	918	2281
287	922	2280
288	924	2274
289	927	2270
290	929	2264
291	931	2258
292	934	2254
293	936	2249
294	939	2245
295	942	2240
296	944	2235
297	947	2230
298	949	2226
299	952	2222
300	955	2218
301	957	2213
302	960	2208
303	962	2204
304	965	2200
305	968	2197
306	970	2190
307	972	2185
308	974	2180
309	977	2176
310	979	2171
311	982	2167
312	984	2161
313	987	2156
314	989	2151
315	992	2147
316	994	2142
317	997	2139
318	1000	2136
319	1002	2131
320	1005	2126
321	1007	2121
322	1009	2116
323	1012	2113
324	1016	2110
325	1018	2106
326	1021	2102
327	1023	2097
328	1026	2093
329	1029	2089
330	1031	2085
331	1034	2081
332	1036	2076
333	1038	2071
334	1041	2067
335	1043	2063
336	1046	2059
337	1049	2055
338	1051	2050
339	1054	2046
340	1056	2041
341	1058	2036
342	1061	2032
343	1064	2029
344	1066	2024
345	1068	2020
346	1072	2017
347	1074	2013
348	1080	2014
349	1082	2010
350	1085	2007
351	1088	2003
352	1090	1998
353	1094	1997
354	1096	1993
355	1099	1988
356	1102	1985
357	1103	1979
358	1105	1974
359	1109	1972
360	1112	1968
361	1114	1964
362	1117	1960
363	1119	1955
364	1120	1949
365	1123	1945
366	1126	1942
367	1128	1938
368	1131	1934
369	1133	1929
370	1135	1924
371	1137	1921
372	1141	1918
373	1143	1914
374	1146	1910
375	1148	1906
376	1151	1902
377	1153	1898
378	1156	1895
379	1158	1889
380	1160	1885
381	1163	1882
382	1166	1879
383	1168	1874
384	1170	1869
385	1173	1866
386	1174	1860
387	1177	1857
388	1179	1852
389	1181	1847
390	1183	1843
391	1185	1838
392	1189	1836
393	1191	1832
394	1193	1828
395	1196	1824
396	1198	1820
397	1200	1816
398	1203	1812
399	1205	1808
400	1208	1804
401	1210	1800
402	1212	1796
403	1215	1793
404	1217	1789
405	1220	1785
406	1223	1782
407	1225	1777
408	1227	1773
409	1229	1769
410	1232	1765
411	1234	1762
412	1237	1758
413	1239	1754
414	1242	1751
415	1245	1747
416	1246	1742
417	1249	1739
418	1252	1736
419	1254	1732
420	1257	1728
421	1259	1724
422	1261	1721
423	1264	1717
424	1267	1715
425	1270	1711
426	1272	1707
427	1275	1704
428	1276	1698
429	1278	1694
430	1281	1691
431	1283	1687
432	1285	1683
433	1287	1679
434	1290	1675
435	1292	1671
436	1294	1667
437	1298	1665
438	1300	1662
439	1303	1658
440	1305	1655
441	1308	1651
442	1310	1648
443	1313	1644
444	1315	1641
445	1318	1637
446	1320	1633
447	1323	1630
448	1325	1626
449	1327	1622
450	1330	1619
451	1333	1616
452	1335	1612
453	1337	1608
454	1339	1605
455	1342	1601
456	1344	1597
457	1347	1595
458	1350	1591
459	1352	1587
460	1355	1584
461	1357	1580
462	1359	1576
463	1362	1574
464	1365	1570
465	1367	1567
466	1370	1563
467	1372	1559
468	1378	1560
469	1380	1556
470	1382	1553
471	1385	1549
472	1387	1545
473	1389	1542
474	1392	1538
475	1394	1535
476	1397	1532
477	1400	1528
478	1402	1525
479	1405	1522
480	1407	1518
481	1410	1515
482	1413	1512
483	1415	1509
484	1418	1505
485	1420	1502
486	1423	1499
487	1426	1496
488	1428	1493
489	1430	1489
490	1433	1485
491	1435	1482
492	1438	1479
493	1441	1476
494	1444	1473
495	1446	1469
496	1448	1466
497	1450	1462
498	1453	1458
499	1455	1455
500	1457	1452
501	1460	1448
502	1462	1445
503	1465	1441
504	1467	1438
505	1469	1435
506	1472	1431
507	1475	1428
508	1477	1425
509	1480	1422
510	1482	1418
511	1484	1415
512	1486	1411
513	1489	1408
514	1492	1405
515	1494	1401
516	1496	1398
517	1499	1395
518	1501	1391
519	1504	1389
520	1507	1385
521	1509	1382
522	1511	1378
523	1514	1375
524	1516	1372
525	1518	1368
526	1522	1366
527	1524	1362
528	1526	1359
529	1528	1355
530	1530	1352
531	1533	1348
532	1535	1345
533	1538	1342
534	1540	1339
535	1543	1335
536	1545	1332
537	1547	1329
538	1551	1327
539	1554	1323
540	1556	1320
541	1558	1317
542	1561	1313
543	1562	1309
544	1565	1306
545	1568	1303
546	1570	1300
547	1573	1297
548	1576	1294
549	1578	1291
550	1581	1288
551	1585	1286
552	1588	1283
553	1590	1280
554	1592	1277
555	1595	1274
556	1597	1270
557	1601	1268
558	1603	1264
559	1605	1261
560	1608	1258
561	1609	1254
562	1611	1251
563	1614	1247
564	1617	1245
565	1619	1241
566	1634	1248
567	1639	1246
568	1642	1244
569	1646	1242
570	1650	1239
571	1653	1237
572	1655	1233
573	1658	1230
574	1661	1227
575	1664	1225
576	1666	1221
577	1669	1218
578	1671	1215
579	1673	1211
580	1675	1208
581	1677	1205
582	1681	1202
583	1683	1199
584	1685	1195
585	1687	1192
586	1690	1189
587	1692	1185
588	1695	1182
589	1697	1179
590	1699	1175
591	1701	1172
592	1703	1169
593	1705	1165
594	1708	1162
595	1711	1159
596	1713	1156
597	1715	1153
598	1718	1150
599	1720	1146
600	1722	1143
601	1725	1140
602	1728	1137
603	1730	1134
604	1732	1131
605	1735	1128
606	1737	1124
607	1739	1121
608	1742	1118
609	1744	1115
610	1747	1112
611	1749	1109
612	1751	1106
613	1754	1102
614	1756	1099
615	1759	1096
616	1762	1094
617	1764	1090
618	1767	1087
619	1769	1084
620	1772	1081
621	1775	1079
622	1778	1076
623	1781	1073
624	1783	1070
625	1785	1067
626	1788	1063
627	1791	1061
628	1793	1057
629	1796	1054
630	1798	1051
631	1800	1048
632	1802	1045
633	1805	1042
634	1808	1039
635	1810	1036
636	1812	1032
637	1814	1029
638	1817	1026
639	1819	1023
640	1822	1020
641	1824	1017
642	1826	1014
643	1829	1011
644	1831	1007
645	1833	1004
646	1835	1001
647	1838	998
648	1840	995
649	1843	992
650	1845	989
651	1847	986
652	1850	983
653	1852	980
654	1855	977
655	1857	974
656	1860	971
657	1862	968
658	1864	964
659	1867	961
660	1870	959
661	1872	956
662	1874	952
663	1876	949
664	1879	946
665	1881	943
666	1884	940
667	1887	937
668	1889	934
669	1891	931
670	1894	928
671	1896	925
672	1899	922
673	1902	919
674	1904	916
675	1906	913
676	1909	910
677	1911	907
678	1913	904
679	1916	902
680	1919	899
681	1922	896
682	1924	893
683	1927	890
684	1929	887
685	1934	885
686	1936	882
687	1938	879
688	1940	876
689	1943	873
690	1945	870
691	1947	866
692	1950	864
693	1952	860
694	1955	857
695	1957	855
696	1960	852
697	1962	849
698	1965	846
699	1967	843
700	1970	840
701	1972	837
702	1974	834
703	1976	831
704	1980	828
705	1982	825
706	1985	822
707	1987	819
708	1990	816
709	1992	813
710	1996	811
711	1998	808
712	2001	805
713	2002	802
714	2004	799
715	2006	796
716	2009	793
717	2012	790
718	2014	787
719	2016	784
720	2018	780
721	2020	777
722	2022	774
723	2025	772
724	2027	769
725	2030	766
726	2032	763
727	2035	760
728	2037	757
729	2040	754
730	2043	752
731	2045	749
732	2048	746
733	2050	743
734	2052	740
735	2055	737
736	2058	734
737	2061	731
738	2063	728
739	2066	725
740	2068	722
741	2071	720
742	2074	717
743	2077	714
744	2080	711
745	2082	708
746	2084	706
747	2087	703
748	2090	700
749	2092	697
750	2094	694
751	2096	691
752	2099	688
753	2101	685
754	2103	682
755	2106	679
756	2109	677
757	2111	674
758	2113	671
759	2116	668
760	2118	665
761	2121	662
762	2123	659
763	2125	656
764	2127	653
765	2130	650
766	2132	647
767	2134	644
768	2138	642
769	2140	639
770	2142	636
771	2145	633
772	2147	630
773	2149	627
774	2152	624
775	2155	622
776	2157	619
777	2159	616
778	2162	613
779	2164	610
780	2166	607
781	2169	604
782	2171	601
783	2174	599
784	2176	596
785	2177	592
786	2179	589
787	2182	587
788	2185	584
789	2187	581
790	2190	578
791	2192	575
792	2195	573
793	2197	570
794	2200	567
795	2203	564
796	2205	561
797	2207	558
798	2210	556
799	2212	553
800	2215	550
801	2218	547
802	2220	544
803	2222	541
804	2225	539
805	2227	536
806	2230	533
807	2233	530
808	2235	527
809	2238	525
810	2240	522
811	2243	519
812	2245	516
813	2247	513
814	2250	510
815	2252	507
816	2255	505
817	2257	502
818	2259	499
819	2262	496
820	2264	493
821	2267	490
822	2269	488
823	2272	485
824	2274	482
825	2277	479
826	2279	476
827	2282	474
828	2284	471
829	2286	468
830	2289	465
831	2291	462
832	2294	459
833	2296	457
834	2299	454
835	2301	451
836	2304	448
837	2306	445
838	2308	443
839	2311	440
840	2314	437
841	2316	434
842	2318	431
843	2320	428
844	2323	426
845	2327	423
846	2330	420
847	2332	418
848	2335	415
849	2337	412
850	2339	409
851	2342	406
852	2344	404
853	2347	401
854	2349	398
855	2352	395
856	2354	392
857	2356	390
858	2359	387
859	2361	384
860	2364	381
861	2367	378
862	2369	376
863	2371	373
864	2373	370
865	2376	367
866	2379	364
867	2381	362
868	2383	359
869	2386	356
870	2389	353
871	2391	351
872	2394	348
873	2396	345
874	2399	342
875	2401	339
876	2403	337
877	2406	334
878	2409	331
879	2411	328
880	2414	326
881	2416	323
882	2419	320
883	2421	317
884	2424	315
885	2426	312
886	2429	309
887	2431	306
888	2433	303
889	2435	301
890	2438	298
891	2440	295
892	2442	292
893	2445	289
894	2447	287
895	2449	284
896	2451	281
897	2454	278
898	2457	276
899	2459	273
900	2461	270
901	2463	267
902	2465	264
903	2468	262
904	2470	259
905	2472	256
906	2475	253
907	2477	251
908	2479	248
909	2482	245
910	2484	242
911	2486	239
912	2489	237
913	2491	234
914	2493	231
915	2496	228
916	2498	226
917	2500	223
918	2503	220
919	2505	217
920	2508	215
921	2510	212
922	2512	209
923	2515	206
924	2517	204
925	2519	201
926	2521	198
927	2523	195
928	2526	193
929	2528	190
930	2530	187
931	2531	184
932	2534	181
933	2536	179
934	2538	176
935	2541	173
936	2543	171
937	2545	168
938	2547	165
939	2550	162
940	2552	160
941	2555	157
942	2557	154
943	2559	151
944	2560	149
945	2563	146
946	2565	143
947	2567	140
948	2570	138
949	2572	135
950	2575	132
951	2577	129
952	2579	127
953	2583	124
954	2586	121
955	2588	119
956	2590	116
957	2592	113
958	2595	110
959	2597	108
960	2599	105
961	2602	102
962	2604	100
963	2607	97
964	2609	94
965	2611	91
966	2614	89
967	2616	86
968	2618	83
969	2620	81
970	2623	78
971	2625	75
972	2627	72
973	2629	70
974	2632	67
975	2634	64
976	2636	62
977	2639	59
978	2641	56
979	2643	53
980	2646	51
981	2648	48
982	2651	45
983	2653	43
984	2655	40
985	2658	37
986	2660	35
987	2662	32
988	2664	29
989	2667	26
990	2669	24
991	2671	21
992	2674	18
993	2676	16
994	2678	13
995	2680	10
996	2683	8
997	2685	5
998	2687	2
999	2690	0
